,ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
52711,52712,I am a developer by profession,18-24 years old,"Employed, part-time","Hybrid (some remote, some in-person)",Apples,Hobby;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc)",,,5,Less than 1 year,"Developer, full-stack",20 to 99 employees,I have some influence,,Is ready-to-go but also customizable for growth and targeted use cases,,,,,HTML/CSS;JavaScript;Python;R;Scala;SQL;TypeScript,HTML/CSS;JavaScript;Python;Scala;SQL;TypeScript,HTML/CSS;JavaScript;Python;Scala;SQL;TypeScript,Firebase Realtime Database;MySQL;PostgreSQL;SQLite;Supabase,Firebase Realtime Database;MySQL;PostgreSQL;Supabase,Firebase Realtime Database;MySQL;PostgreSQL;Supabase,Digital Ocean;Firebase;Supabase,Digital Ocean;Firebase;Supabase,Digital Ocean;Firebase;Supabase,jQuery;React;Vue.js,React;Vue.js,React;Vue.js,,,,,,,Docker;Kubernetes;Make;npm;Pip;Yarn,Docker;Kubernetes;Make;npm;Pip;Yarn,Docker;Kubernetes;Make;npm;Pip;Yarn,IntelliJ IDEA;Visual Studio Code,Visual Studio Code,Visual Studio Code,Ubuntu,Ubuntu,Jira;Notion,Jira;Notion,Jira;Notion,Google Meet;Microsoft Teams;Telegram,Microsoft Teams;Telegram,Microsoft Teams;Telegram,ChatGPT,ChatGPT,ChatGPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40965,40966,I am a developer by profession,45-54 years old,"Employed, full-time",Remote,Apples,I don’t code outside of work,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Books;Stack Overflow;Social Media,API document(s) and/or SDK document(s);User guides or README files found in the source repository,23,21,"Developer, mobile",100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow,Out-of-the-box is ready to go with little need for customization,APIs;Integrated developer community;Reputation for quality and excellence,Spain,EUR European Euro,35000.0,Bash/Shell (all shells);Java;Kotlin;Objective-C;Python;SQL;Swift,Bash/Shell (all shells);Java;Kotlin;Objective-C;Python;SQL;Swift,Bash/Shell (all shells);Java;Kotlin;Objective-C;Python;SQL;Swift,MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Amazon Web Services (AWS);Firebase;Microsoft Azure,Amazon Web Services (AWS);Firebase;Microsoft Azure,Amazon Web Services (AWS);Firebase;Microsoft Azure,React;Spring Boot,React;Spring Boot,React;Spring Boot,,,,Hadoop;NumPy;Pandas;TensorFlow;Torch/PyTorch,Hadoop;NumPy;Pandas;TensorFlow;Torch/PyTorch,Hadoop;NumPy;Pandas;TensorFlow;Torch/PyTorch,Docker;Homebrew;Pip,Docker;Homebrew;Pip,Docker;Homebrew;Pip,Android Studio;Eclipse;Notepad++;Visual Studio Code;Xcode,Android Studio;Eclipse;Notepad++;Visual Studio Code;Xcode,Android Studio;Eclipse;Notepad++;Visual Studio Code;Xcode,Windows,Windows,Jira;Redmine,Jira;Redmine,Jira;Redmine,Microsoft Teams,Microsoft Teams,Microsoft Teams,GitHub Copilot,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Daily or almost daily,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, somewhat","No, but I plan to soon",Favorable,,,,,,,,,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",Yes,Individual contributor,21.0,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Never,Never,Never,15-30 minutes a day,Less than 15 minutes a day,Amount of technical debt;Tracking my work,DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,30.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,Appropriate in length,Neither easy nor difficult,37592.0,7.0
34007,34008,I am a developer by profession,18-24 years old,"Not employed, but looking for work",,Apples,,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Written Tutorials;Stack Overflow,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,5,1,"Developer, full-stack",,,,,,New Zealand,,,Ada;Assembly;C;Dart;JavaScript;Kotlin;Lua;Python;Rust;Swift;TypeScript,JavaScript;Kotlin;Lua;Python;Rust;Swift;TypeScript,JavaScript;Kotlin;Lua;Python;Rust;Swift;TypeScript,PostgreSQL,PostgreSQL,PostgreSQL,Oracle Cloud Infrastructure (OCI),Oracle Cloud Infrastructure (OCI),Oracle Cloud Infrastructure (OCI),Svelte,Htmx;Svelte,Svelte,CMake;Cargo;LLVM's Clang;Meson;Ninja,Cargo;LLVM's Clang;Meson;Ninja,Cargo;LLVM's Clang;Meson;Ninja,GTK;SwiftUI,GTK;SwiftUI,GTK;SwiftUI,Dagger;Docker;Gradle;Homebrew;Make;Ninja;npm;Pacman;Pip;Vite,Dagger;Docker;Make;Ninja;Pacman;Vite,Dagger;Docker;Make;Ninja;Pacman;Vite,Android Studio;Neovim,Android Studio;Neovim,Android Studio;Neovim,Other Linux-based,Debian;Other Linux-based;Red Hat,GitHub Discussions;Miro,GitHub Discussions;Miro,GitHub Discussions;Miro,Discord;Matrix,Matrix,Matrix,,,,Stack Overflow;Stack Exchange,Multiple times per day,Not sure/can't remember,,Quickly finding code solutions,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,,
42514,42515,I am a developer by profession,35-44 years old,"Employed, full-time",In-person,Apples,Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Books;Coding sessions (live or recorded);Social Media;Video-based Online Courses,,17,13,"Developer, full-stack","10,000 or more employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow,Out-of-the-box is ready to go with little need for customization,APIs;Customization,India,INR	Indian rupee,,Java,Go,,Oracle,MongoDB,,Microsoft Azure,Databricks,,Angular;React,Angular;React,Angular;React,Arduino,Arduino,Arduino,Apache Kafka;Apache Spark;Spring Framework,Apache Kafka;Apache Spark;Spring Framework,Apache Kafka;Apache Spark;Spring Framework,Maven (build tool);Nix,Docker;Gradle;Kubernetes,,Eclipse;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;RStudio;Visual Studio Code,,,Windows,Windows,Confluence;Jira,Confluence;Jira,Confluence;Jira,Microsoft Teams;Skype,Microsoft Teams,Microsoft Teams,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-everyone technology/techniques,Neutral,"No, but I plan to soon",Very favorable,,,,,,,,,,,,Yes,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,Don’t trust the output or answers;Lack of proper training and education on new tools,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Easy,,
6860,6861,I code primarily as a hobby,18-24 years old,"Not employed, but looking for work",,Apples,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Social Media;Video-based Online Courses,API document(s) and/or SDK document(s),10,,,,,,,,Argentina,,,HTML/CSS;Kotlin,C#;HTML/CSS;Kotlin,HTML/CSS;Kotlin,,,,,,,,,,,,,,,,,,,IntelliJ IDEA,Android Studio;IntelliJ IDEA,IntelliJ IDEA,Android;Windows,,Obsidian,Obsidian,Obsidian,Microsoft Teams;Whatsapp,Google Meet;Whatsapp,Whatsapp,Bing AI,Bing AI,Bing AI,Stack Overflow,A few times per week,Yes,A few times per month or weekly,Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,Neutral,"No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,,
56844,56845,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,Hobby,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Online Courses or Certification,,,13,10,"Developer, back-end",10 to 19 employees,I have some influence,Visit developer communities like Stack Overflow,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Frequent updates to features;Connected to an open source project,Germany,EUR European Euro,57480.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;Python;R;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;R;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;R;SQL;TypeScript,Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite,PostgreSQL,PostgreSQL,Firebase;Hetzner,Hetzner,Hetzner,ASP.NET CORE;Blazor;Deno;Express;Fastify;Node.js,ASP.NET CORE;Blazor;Fastify;Node.js,ASP.NET CORE;Blazor;Fastify;Node.js,,,,.NET (5+) ;RabbitMQ,.NET (5+) ;RabbitMQ,.NET (5+) ;RabbitMQ,Ansible;Composer;Docker;Kubernetes;MSBuild;npm;NuGet;Pip;Podman;Yarn,Ansible;Kubernetes;npm;NuGet;Podman,Ansible;Kubernetes;npm;NuGet;Podman,Nano;Visual Studio Code,Nano;Visual Studio Code,Nano;Visual Studio Code,Fedora,Fedora,Confluence;GitHub Discussions;Jira;Markdown File;Wikis,Confluence;GitHub Discussions;Markdown File,Confluence;GitHub Discussions;Markdown File,Discord;Jitsi;Mattermost;Skype,Mattermost,Mattermost,ChatGPT;Codeium;GitHub Copilot;WolframAlpha,ChatGPT;Codeium;GitHub Copilot;WolframAlpha,ChatGPT;Codeium;GitHub Copilot;WolframAlpha,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,"Yes, somewhat",Yes,Indifferent,Increase productivity;Greater efficiency,Somewhat distrust,Bad at handling complex tasks,Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers;Generating content or synthetic data,Learning about a codebase;Project planning;Predictive analytics,Committing and reviewing code;Deployment and monitoring,,Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers;Generating content or synthetic data,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Energy demand,Don’t trust the output or answers;Lack of proper training and education on new tools,Yes,Individual contributor,10.0,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,Never,60-120 minutes a day,Less than 15 minutes a day,Amount of technical debt,Automated testing;Microservices;Continuous integration (CI) and (more often) continuous delivery,On-prem,A coworker,Other:,5.0,10.0,5.0,15.0,20.0,30.0,5.0,5.0,5.0,Appropriate in length,Easy,,8.0
37508,37509,I am a developer by profession,18-24 years old,"Student, full-time",,Apples,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Written Tutorials;Stack Overflow;Social Media;How-to videos;Other (Please specify):,API document(s) and/or SDK document(s);User guides or README files found in the source repository,5,Less than 1 year,Student,,,,,,France,,,Assembly;C;GDScript;OCaml;Python;Rust;SQL,C;Python;Rust;Zig,C;Python;Rust,,,,,,,,,,Cargo;GNU GCC;LLVM's Clang,Cargo;GNU GCC;LLVM's Clang,Cargo;GNU GCC;LLVM's Clang,CUDA;OpenCL;OpenGL,,,Godot;Make;Pip;Unreal Engine,Godot;Make,Godot;Make,Visual Studio Code,Vim;Visual Studio Code,Visual Studio Code,Ubuntu;Windows,Ubuntu,Doxygen,Doxygen,Doxygen,Discord;Whatsapp,Discord;Whatsapp,Discord;Whatsapp,GitHub Copilot;Visual Studio Intellicode,GitHub Copilot;Visual Studio Intellicode,GitHub Copilot;Visual Studio Intellicode,Stack Overflow;Stack Exchange,A few times per month or weekly,No,,Quickly finding code solutions,"No, not at all",Yes,Favorable,Increase productivity;Greater efficiency;Improve accuracy in coding;Make workload more manageable,Somewhat trust,Neither good or bad at handling complex tasks,Writing code;Documenting code;Debugging and getting help;Testing code,,,,Writing code;Documenting code;Debugging and getting help;Testing code,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Energy demand;Other (please specify):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,,
10452,10453,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, part-time",In-person,Apples,School or academic work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Books;Written Tutorials;Stack Overflow;How-to videos;Video-based Online Courses;AI,User guides or README files found in the source repository,10,5,System administrator,10 to 19 employees,I have some influence,Start a free trial,Is set up to be customized and needs to be engineered into a usable product,Customization,Austria,EUR European Euro,20000.0,C;C++;HTML/CSS;JavaScript;Python,,,MariaDB,,,Google Cloud,,,WordPress,,,,,,,,,,,,Visual Studio Code,,,Android;Debian;iOS;MacOS;Ubuntu;Windows,,Jira,,,Discord;Jitsi;Mattermost;Microsoft Teams;Telegram,,,ChatGPT,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, somewhat",Yes,Indifferent,Speed up learning,Somewhat trust,Neither good or bad at handling complex tasks,Debugging and getting help;Search for answers,,Learning about a codebase;Project planning;Writing code;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics,,Debugging and getting help;Search for answers,,,,No,Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;Lack of proper training and education on new tools;Lack of executive buy-in;Not everyone uses them;They create more work (more code/PRs to review, etc.)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,21481.0,
53488,53489,I am a developer by profession,35-44 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work,"Associate degree (A.A., A.S., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);How-to videos;Interactive tutorial;Video-based Online Courses;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository,20,15,"Developer, front-end",100 to 499 employees,I have some influence,,Is ready-to-go but also customizable for growth and targeted use cases,Reputation for quality and excellence,Canada,CAD	Canadian dollar,100000.0,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,,,Microsoft SQL Server;Neo4J,,,Firebase;Microsoft Azure;Netlify;Vercel,,,Angular;ASP.NET;ASP.NET CORE;Astro;Deno;Htmx;jQuery;Next.js;React;Svelte,Solid.js,,,,,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET MAUI,,,,,Sublime Text;Vim;Visual Studio,WebStorm,,iOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Windows,Azure Devops;Obsidian,Obsidian,Obsidian,Discord;Microsoft Teams;Slack;Zoom,Discord;IRC,Discord,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"Yes, somewhat",Yes,Unsure,Increase productivity;Speed up learning,Neither trust nor distrust,Neither good or bad at handling complex tasks,Writing code;Debugging and getting help;Search for answers,Learning about a codebase;Project planning;Documenting code;Testing code;Predictive analytics,Committing and reviewing code;Deployment and monitoring;Generating content or synthetic data,,Debugging and getting help;Search for answers,Writing code,,,No,Missing or incorrect attribution for sources of data;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Not everyone uses them",Yes,Individual contributor,15.0,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,1-2 times a week,1-2 times a week,1-2 times a week,60-120 minutes a day,15-30 minutes a day,Amount of technical debt;Tracking my work;Complexity of tech stack for deployment;Complexity of tech stack for build,AI-assisted technology tool(s),Hybrid (on-prem and cloud),A coworker,Retail and Consumer Services,5.0,5.0,0.0,55.0,0.0,10.0,5.0,15.0,5.0,Appropriate in length,Easy,,2.0
33475,33476,I am a developer by profession,25-34 years old,"Employed, part-time",Remote,Apples,Hobby,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;How-to videos;Video-based Online Courses;Written-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,11,10,"Developer, full-stack",2 to 9 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow,,APIs;Customization;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,United Kingdom of Great Britain and Northern Ireland,GBP	Pound sterling,10000.0,HTML/CSS;Python,GDScript;HTML/CSS;Python;Rust,HTML/CSS;Python,PostgreSQL,PostgreSQL,PostgreSQL,"Linode, now Akamai","Linode, now Akamai","Linode, now Akamai",Django,Django;Flask,Django,Arduino;Rasberry Pi,Arduino;Cargo;Rasberry Pi,Arduino;Rasberry Pi,RabbitMQ,NumPy;Pandas;RabbitMQ,RabbitMQ,APT;Godot,Ansible;APT;Godot,APT;Godot,Vim;Visual Studio Code,Vim;Visual Studio Code,Vim;Visual Studio Code,Debian;Ubuntu;Windows,Debian;Ubuntu,,,,Discord,Discord,Discord,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,"Yes, somewhat","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,10.0,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Disagree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,Less than 15 minutes a day,Amount of technical debt;Reliability of tools/systems used in work,Automated testing,Cloud only (single or multi-cloud),Traditional public search engine,Other:,0.0,50.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,Appropriate in length,Easy,12739.0,5.0
34773,34774,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Apples,Bootstrapping a business;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Social Media;Video-based Online Courses;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,12,6,"Developer, back-end",20 to 99 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me,Out-of-the-box is ready to go with little need for customization,APIs;Customization;Integrated developer community;Quality support system;Frequent updates to features,France,EUR European Euro,50000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby,Bash/Shell (all shells);HTML/CSS;JavaScript;Python,Bash/Shell (all shells);HTML/CSS;JavaScript;Python,Elasticsearch;MongoDB;PostgreSQL;Supabase,MongoDB;PostgreSQL;Supabase,MongoDB;PostgreSQL;Supabase,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure;Supabase;Vercel,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Supabase;Vercel;Vultr,Amazon Web Services (AWS);Firebase;Google Cloud;Supabase;Vercel,Flask;Node.js;Nuxt.js;Vue.js,Django;Express;FastAPI;Flask;Node.js;Nuxt.js;Svelte;Vue.js,Flask;Node.js;Nuxt.js;Vue.js,GNU GCC,GNU GCC;Rasberry Pi,GNU GCC,Keras;NumPy;Pandas;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch,Keras;NumPy;Pandas;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch,Keras;NumPy;Pandas;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch,APT;Bun;Docker;Kubernetes;npm;Pip;Vite;Yarn,Bun;Docker;Kubernetes;npm;Pip;Vite;Yarn,Bun;Docker;Kubernetes;npm;Pip;Vite;Yarn,Vim;Visual Studio Code,Vim;Visual Studio Code,Vim;Visual Studio Code,Ubuntu,Ubuntu,Airtable;Confluence;Jira,Confluence;Jira;Trello,Confluence;Jira,Discord;Google Meet;Microsoft Teams,Discord;Microsoft Teams;Slack,Discord;Microsoft Teams,ChatGPT,ChatGPT,ChatGPT,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely",Yes,Favorable,Increase productivity;Greater efficiency,Neither trust nor distrust,"Good, but not great at handling complex tasks",Testing code;Generating content or synthetic data,Writing code,Learning about a codebase;Project planning;Documenting code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers,,,Testing code;Generating content or synthetic data,,,I'm not sure,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities,,Yes,Individual contributor,6.0,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,3-5 times a week,3-5 times a week,1-2 times a week,15-30 minutes a day,30-60 minutes a day,Complexity of tech stack for deployment;Complexity of tech stack for build;Maintaining security of code being produced;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (free),Software Development,5.0,0.0,10.0,20.0,15.0,30.0,10.0,0.0,10.0,Appropriate in length,Neither easy nor difficult,53703.0,7.0
63170,63171,I am a developer by profession,45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby,Some college/university study without earning a degree,"Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp",Technical documentation;Blogs;Books;Stack Overflow;How-to videos;Programming Games,API document(s) and/or SDK document(s);First-party knowledge base;Traditional public search engine,35,10,"Developer, full-stack","1,000 to 4,999 employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Reputation for quality and excellence,Germany,EUR European Euro,63000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;VBA,Bash/Shell (all shells);C#;F#;HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;VBA,Microsoft Access;Microsoft SQL Server,Microsoft Access;Microsoft SQL Server,Microsoft Access;Microsoft SQL Server,Cloudflare;Microsoft Azure,Cloudflare;Microsoft Azure,Cloudflare;Microsoft Azure,,,,,,,,,,NuGet,Docker;NuGet,NuGet,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Windows,Windows,Confluence;Jira;Trello,Confluence;Jira,Confluence;Jira,Microsoft Teams,Microsoft Teams,Microsoft Teams,ChatGPT;Visual Studio Intellicode,ChatGPT;GitHub Copilot;Visual Studio Intellicode,ChatGPT;Visual Studio Intellicode,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions,"No, not at all","No, but I plan to soon",Favorable,,,,,,,,,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them",Yes,Individual contributor,12.0,Strongly agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,1-2 times a week,1-2 times a week,1-2 times a week,Less than 15 minutes a day,Less than 15 minutes a day,None of these,DevOps function;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Manufacturing,15.0,0.0,0.0,0.0,20.0,45.0,20.0,0.0,0.0,Too long,Easy,,9.0
